NAME,Rarity Sum
Pet Bricks #3098,24.4
Pet Bricks #3599,24.4
Pet Bricks #4657,24.4
Pet Bricks #881,24.400000000000002
Pet Bricks #1112,24.400000000000002
Pet Bricks #1406,24.400000000000002
Pet Bricks #3547,24.400000000000002
Pet Bricks #223,24.419999999999998
Pet Bricks #1662,24.419999999999998
Pet Bricks #2686,24.419999999999998
Pet Bricks #1331,24.42
Pet Bricks #4171,24.42
Pet Bricks #1958,24.440000000000005
Pet Bricks #3557,24.459999999999997
Pet Bricks #1886,24.46
Pet Bricks #4315,24.46
Pet Bricks #2730,24.48
Pet Bricks #4978,24.48
